allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
1,3,2,Blue,8,11,132,16,Fighter,None,21481,Fiora,27229,19347,12,1,2,0,Red,4,Enemy,Ally,False,False,Ally,Ally,False,Enemy,False,-133.9000000000001,206.9000000000001,14003,8,3213327776,Ally,CSC MASTER NA,16460,11,0,4,1
0,3,1,Blue,6,4,44,18,Fighter,None,6491,Diana,23808,15908,6,2,0,1,Red,9,Enemy,Ally,False,True,Ally,Ally,False,Enemy,False,269.5999999999999,232.0,16516,12,3208737020,Enemy,AnOrangeOnion,4996,32,0,10,0
0,2,0,Blue,2,4,31,14,Fighter,None,1481,Udyr,6185,2630,5,1,2,2,Red,9,Enemy,Ally,False,False,Ally,Enemy,False,Enemy,False,-260.5,201.70000000000005,9695,2,3133021058,Enemy,AnOrangeOnion,5473,16,0,1,0
0,0,0,Red,0,0,43,11,Fighter,None,131,Nasus,2386,0,8,0,2,3,Blue,11,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-255.5,362.4000000000001,5104,0,3132972323,Enemy,AnOrangeOnion,528,11,1,3,0
2,3,1,Red,8,11,99,17,Fighter,None,3651,Jax,23390,15935,8,0,1,0,Blue,4,Ally,Ally,False,False,Enemy,Ally,True,Ally,False,-138.20000000000005,32.5,13254,6,3132908379,None,AnOrangeOnion,6585,21,2,3,1
0,0,0,Red,1,4,102,10,Marksman,None,4663,Jinx,9904,1464,7,0,3,1,Blue,6,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-165.5,-308.79999999999995,6527,1,3132760253,None,AnOrangeOnion,3209,9,0,1,0
0,3,0,Red,4,1,38,13,Assassin,None,2939,Akali,8364,3151,5,0,0,0,Blue,2,None,Ally,False,False,Ally,None,None,Ally,False,-219.4000000000001,111.20000000000005,6647,1,3132742796,None,AnOrangeOnion,1180,15,1,1,1
1,2,1,Red,8,16,185,13,Support,None,2679,Soraka,3709,1659,4,0,0,0,Blue,1,Ally,Ally,False,False,Ally,Ally,False,Ally,False,-388.20000000000005,-104.29999999999995,7603,1,3013934388,Ally,AnOrangeOnion,13695,38,5,2,1
1,2,3,Red,10,9,283,13,Mage,None,915,Fiddlesticks,10364,3076,2,0,0,0,Blue,1,Ally,Ally,False,False,Ally,Ally,True,Ally,False,-388.0999999999999,-411.79999999999995,7907,3,3013896364,Ally,AnOrangeOnion,2327,52,8,8,1
1,2,2,Red,9,16,53,14,Marksman,None,1621,Lucian,19588,13451,7,0,2,0,Blue,6,Ally,Enemy,False,False,Ally,Ally,True,Enemy,False,-144.9000000000001,-400.4000000000001,11845,6,3013885938,Enemy,AnOrangeOnion,3291,20,1,3,1
0,1,0,Red,2,4,77,11,Tank,None,10072,Blitzcrank,4408,1788,6,1,1,0,Blue,5,Enemy,Enemy,False,False,Enemy,None,None,Enemy,False,-532.9000000000001,-620.5,5254,0,3013845318,None,AnOrangeOnion,1182,35,3,2,0
