allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
0,2,1,Blue,7,4,439,11,Fighter,None,31864,Volibear,5342,24525,2,0,0,0,Red,1,None,Ally,False,True,Ally,Ally,False,Ally,False,190.0999999999999,622.5999999999999,8070,5,3197323930,Ally,JayKayTea,4461,13,0,0,1
1,1,3,Blue,11,9,551,14,Fighter,None,31864,Volibear,10404,26441,0,0,2,0,Red,2,Ally,Enemy,False,False,Enemy,Ally,False,Enemy,False,-74.70000000000005,419.9000000000001,10682,5,3195504982,Ally,JayKayTea,7354,22,2,3,1
1,3,1,Blue,8,14,815,16,Fighter,None,31864,Volibear,17425,36357,2,0,1,0,Red,2,Ally,Ally,False,False,Enemy,Ally,True,Ally,True,299.9000000000001,209.0,13613,8,3195438518,Ally,JayKayTea,11144,22,4,2,1
0,2,0,Blue,5,2,145,10,Fighter,None,72375,Udyr,2989,23874,1,0,0,0,Red,0,None,Ally,False,False,Ally,None,None,Ally,False,403.9000000000001,452.0,6428,4,3195443559,Ally,JayKayTea,6080,15,1,2,1
0,2,1,Red,6,11,618,11,Fighter,None,31864,Volibear,7417,11582,1,0,1,0,Blue,0,None,Ally,False,False,Enemy,Ally,True,Ally,False,-1.599999999999909,378.20000000000005,8000,4,3195359138,Enemy,JayKayTea,5447,13,1,0,1
0,1,1,Red,8,4,65,9,Fighter,None,72375,Udyr,1408,21457,1,0,0,0,Blue,0,None,Ally,False,False,Ally,Ally,True,Ally,False,-18.40000000000009,271.5999999999999,5341,0,3195374511,Ally,JayKayTea,3544,16,1,3,1
1,1,2,Red,9,5,95,12,Assassin,None,3719,Kassadin,11377,5062,5,0,2,0,Blue,2,Ally,Ally,False,False,Ally,Ally,False,Ally,False,-176.4000000000001,55.799999999999955,8207,4,3041548944,Ally,BrianjOuZ,5137,11,0,1,1
0,2,1,Red,7,10,0,13,Marksman,None,1110,Sivir,16441,13675,6,1,1,0,Blue,4,Enemy,Enemy,False,False,Enemy,Ally,True,Ally,False,332.79999999999995,-26.200000000000045,11631,7,3041534827,None,BrianjOuZ,3685,9,0,1,1
0,1,0,Red,3,13,66,11,Assassin,None,366,Rengar,9466,2039,15,1,2,3,Blue,9,Enemy,Enemy,False,False,Ally,Enemy,False,Ally,True,-311.4000000000001,-853.5,6884,1,3041117065,Enemy,BrianjOuZ,1698,13,0,1,0
1,3,2,Blue,9,20,192,16,Support,None,10886,Zilean,14706,9600,5,0,1,0,Red,3,Ally,Enemy,False,False,Ally,Ally,False,Ally,False,-43.59999999999991,-35.40000000000009,11343,2,3041107760,Ally,BrianjOuZ,6362,14,0,2,1
0,0,0,Blue,1,4,170,15,Assassin,None,3719,Kassadin,23676,1804,7,1,3,3,Red,11,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,86.90000000000009,322.79999999999995,13582,13,3040920855,Enemy,BrianjOuZ,6309,10,0,1,0
1,4,2,Blue,10,11,170,18,Fighter,None,6540,Yasuo,31614,10656,8,1,2,0,Red,3,Ally,Ally,False,True,Ally,Ally,True,Ally,False,318.5999999999999,641.5999999999999,15207,4,3040857597,Ally,BrianjOuZ,12390,30,2,3,1
0,0,0,Blue,2,3,173,11,Support,None,10886,Zilean,5638,6459,2,0,1,0,Red,0,None,Ally,False,False,Enemy,None,None,Ally,True,-14.099999999999909,409.5999999999999,5913,2,3040843293,Ally,BrianjOuZ,1582,9,0,2,1
1,1,1,Red,6,6,68,15,Mage,None,10756,Viktor,16171,5003,5,0,2,0,Blue,4,Ally,Enemy,False,False,Enemy,Ally,False,Ally,False,5.099999999999909,465.0,9896,3,3040806107,Ally,BrianjOuZ,803,14,0,1,1
0,0,0,Red,4,14,666,17,Support,None,10886,Zilean,22221,2626,7,1,4,1,Blue,8,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-114.09999999999991,-325.5,11393,5,3040643334,Enemy,BrianjOuZ,14551,14,0,1,0
0,0,0,Red,2,3,73,10,Assassin,None,5948,MasterYi,3369,2750,12,0,2,1,Blue,8,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-243.70000000000005,-624.7,5477,2,3040586811,None,BrianjOuZ,1326,9,0,0,0
0,1,0,Red,1,18,250,14,Mage,None,1431,Orianna,23405,1884,15,0,2,4,Blue,11,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-272.0999999999999,-377.0,9562,2,3040549270,Enemy,BrianjOuZ,179,6,0,0,0
1,4,3,Blue,11,8,252,18,Assassin,None,160482,Rengar,53043,60327,6,1,1,0,Red,5,Enemy,Enemy,False,False,Enemy,Ally,False,Ally,True,-157.5,-267.5,23054,29,3218710241,Ally,BigBootyRiven,11503,30,1,1,1
0,3,3,Blue,11,6,144,18,Fighter,None,27730,Tryndamere,30827,44836,10,1,2,0,Red,3,Enemy,Ally,False,True,Enemy,Ally,False,Ally,False,-403.20000000000005,-193.0,18247,12,3218524270,Ally,BigBootyRiven,9333,13,0,1,1
